id,classe,diagnostico,fonte,url,magnificacao,coloracao,arquivo_imagem
acantocitos_001,acantocitos,,,,,Wright-Giemsa,
acantocitos_002,acantocitos,,,,,Wright-Giemsa,
acantocitos_003,acantocitos,,,,,Wright-Giemsa,
acantocitos_004,acantocitos,,,,,Wright-Giemsa,
acantocitos_005,acantocitos,,,,,Wright-Giemsa,
acantocitos_006,acantocitos,,,,,Wright-Giemsa,
acantocitos_007,acantocitos,,,,,Wright-Giemsa,
acantocitos_008,acantocitos,,,,,Wright-Giemsa,
acantocitos_009,acantocitos,,,,,Wright-Giemsa,
acantocitos_010,acantocitos,,,,,Wright-Giemsa,
acantocitos_011,acantocitos,,,,,Wright-Giemsa,
acantocitos_012,acantocitos,,,,,Wright-Giemsa,
acantocitos_013,acantocitos,,,,,Wright-Giemsa,
acantocitos_014,acantocitos,,,,,Wright-Giemsa,
acantocitos_015,acantocitos,,,,,Wright-Giemsa,
acantocitos_016,acantocitos,,,,,Wright-Giemsa,
acantocitos_017,acantocitos,,,,,Wright-Giemsa,
acantocitos_018,acantocitos,,,,,Wright-Giemsa,
acantocitos_019,acantocitos,,,,,Wright-Giemsa,
acantocitos_020,acantocitos,,,,,Wright-Giemsa,
anisocitose_001,anisocitose,,,,,Wright-Giemsa,
anisocitose_002,anisocitose,,,,,Wright-Giemsa,
anisocitose_003,anisocitose,,,,,Wright-Giemsa,
anisocitose_004,anisocitose,,,,,Wright-Giemsa,
anisocitose_005,anisocitose,,,,,Wright-Giemsa,
anisocitose_006,anisocitose,,,,,Wright-Giemsa,
anisocitose_007,anisocitose,,,,,Wright-Giemsa,
anisocitose_008,anisocitose,,,,,Wright-Giemsa,
anisocitose_009,anisocitose,,,,,Wright-Giemsa,
anisocitose_010,anisocitose,,,,,Wright-Giemsa,
anisocitose_011,anisocitose,,,,,Wright-Giemsa,
anisocitose_012,anisocitose,,,,,Wright-Giemsa,
anisocitose_013,anisocitose,,,,,Wright-Giemsa,
anisocitose_014,anisocitose,,,,,Wright-Giemsa,
anisocitose_015,anisocitose,,,,,Wright-Giemsa,
anisocitose_016,anisocitose,,,,,Wright-Giemsa,
anisocitose_017,anisocitose,,,,,Wright-Giemsa,
anisocitose_018,anisocitose,,,,,Wright-Giemsa,
anisocitose_019,anisocitose,,,,,Wright-Giemsa,
anisocitose_020,anisocitose,,,,,Wright-Giemsa,
codocitos_001,codocitos,,,,,Wright-Giemsa,
codocitos_002,codocitos,,,,,Wright-Giemsa,
codocitos_003,codocitos,,,,,Wright-Giemsa,
codocitos_004,codocitos,,,,,Wright-Giemsa,
codocitos_005,codocitos,,,,,Wright-Giemsa,
codocitos_006,codocitos,,,,,Wright-Giemsa,
codocitos_007,codocitos,,,,,Wright-Giemsa,
codocitos_008,codocitos,,,,,Wright-Giemsa,
codocitos_009,codocitos,,,,,Wright-Giemsa,
codocitos_010,codocitos,,,,,Wright-Giemsa,
codocitos_011,codocitos,,,,,Wright-Giemsa,
codocitos_012,codocitos,,,,,Wright-Giemsa,
codocitos_013,codocitos,,,,,Wright-Giemsa,
codocitos_014,codocitos,,,,,Wright-Giemsa,
codocitos_015,codocitos,,,,,Wright-Giemsa,
codocitos_016,codocitos,,,,,Wright-Giemsa,
codocitos_017,codocitos,,,,,Wright-Giemsa,
codocitos_018,codocitos,,,,,Wright-Giemsa,
